wallet_address,total_amount_eth_borrows,total_amount_eth_deposits,total_amount_eth_repays,total_amount_eth_withdraws,avg_amount_eth_borrows,avg_amount_eth_deposits,avg_amount_eth_repays,avg_amount_eth_withdraws,tx_count_borrows,tx_count_deposits,tx_count_repays,tx_count_withdraws,active_days,borrow_to_deposit_ratio,repay_to_borrow_ratio,tx_total
0x0085cc4d9ce979174819da928d0b07979c9a9846,0.8427330000114135,0.0,0.8429596842204412,19.375552849257716,0.2809110000038045,0.0,0.2809865614068137,6.458517616419239,3.0,0.0,3.0,3.0,1,inf,1.000268986985231,9.0
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,33000.0,43000.0000000026,33094.681774490346,43637.819223955456,8250.0,14333.3333333342,3309.4681774490346,14545.939741318485,4.0,3.0,10.0,3.0,1,0.7674418604650699,1.0028691446815257,20.0
0x009b6817807c332b9445f5c9cf2ac94631fe876e,1442.50000003032,0.01,2575.6618499521423,0.0,90.156250001895,0.01,75.75476029271007,0.0,16.0,1.0,34.0,0.0,1,144250.000003032,1.7855541420436771,51.0
0x009c07cc41a358176c97b525284d50f4960bc939,0.0,4094.4712294437677,0.0,1298.4300000012784,0.0,682.4118715739613,0.0,432.8100000004261,0.0,6.0,0.0,3.0,1,0.0,,9.0
0x009eeb4e411cfbf297cf64b993176904dde36170,0.0,0.0,0.0,19.936521066521202,0.0,0.0,0.0,19.936521066521202,0.0,0.0,0.0,1.0,1,,,1.0
0x00a050ae48f4f5463321a9eb2aa2dc2314076ca8,0.0,10.358321130047615,0.0,2.7448884e-11,0.0,2.589580282511904,0.0,9.149628e-12,0.0,4.0,0.0,3.0,1,0.0,,7.0
0x00a22ebafb4e5f9e43b5e8c8db245856d2be2b98,0.0,195.00000000030374,0.0,3.03803915e-10,0.0,97.50000000015187,0.0,3.03803915e-10,0.0,2.0,0.0,1.0,1,0.0,,3.0
0x00ace6f9c2d01981b709e6b24334bbefe83ace9c,0.0,127.75533823493205,0.0,20.135317071330647,0.0,63.87766911746603,0.0,20.135317071330647,0.0,2.0,0.0,1.0,1,0.0,,3.0
0x00ad74a4666f7dcf7f0105eec59feb1cb1309bf1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,1,,,1.0
0x00af09973052d749f6a95071da1dcbe2c557cc15,1.22e-08,0.0,1.220657206e-08,0.0,6.1e-09,0.0,6.10328603e-09,0.0,2.0,0.0,2.0,0.0,1,inf,1.0005386934426228,4.0
0x00b1812ff2c3f4e844048dba13c3a28749cd98f4,0.0,8001.82619586055,0.0,8081.936007677338,0.0,8001.82619586055,0.0,2693.9786692257794,0.0,1.0,0.0,3.0,1,0.0,,4.0
0x00b775a007e6b593d2a8b0a5c330849dcc11f4d3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,1,,,1.0
0x00b8fe7c85998bbab5e71d2378e927b554b6d78f,71.0,0.0,71.4752492813068,1.0000084500000001e-10,35.5,0.0,71.4752492813068,3.3333615e-11,2.0,0.0,1.0,3.0,1,inf,1.0066936518493916,6.0
